Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
244,434,U3,"ThinkSystem SR650, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Government,Lenovo,China,2018,Government,"31,360","25,600","1,593.03","2,573.38",,,,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,"50,774",179547
245,444,U2,"ThinkSystem SR650, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Government,Lenovo,China,2018,Government,"30,576","24,960","1,558.40","2,509.04",,,,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,"50,774",179548
246,451,U1,"ThinkSystem SR650, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Government,Lenovo,China,2018,Government,"29,792","24,320","1,520.97","2,444.71",,,,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,"50,774",179549
247,325,O1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"30,960",,"1,668.16","2,674.94",,,,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179582
248,295,S1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"33,840",,"1,804.00","2,923.78",,,,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179581
249,299,R1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"33,120",,"1,768.59","2,861.57",,,,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179580
250,316,P1,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR",Government,Lenovo,China,2018,Government,"31,680",,"1,703.51","2,737.15",,,,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,ThinkSystem Flex SN550,Lenovo ThinkSystem,Infiniband,Infiniband FDR,Asia,"50,774",179579
251,302,POD3,"Huawei Cluster, Xeon Gold 6148 20C 2.4GHz, Infiniband",Group 42,Huawei,United Arab Emirates,2019,Industry,"34,800",,"1,756.75","2,672.64",,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,Huawei Cluster,Huawei Cluster,Infiniband,Infiniband,Asia,"50,813",179715
252,47,Emmy+,"BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path",HLRN+ at GWDG/University of Göttingen,Atos,Germany,2020,Academic,"120,296",,"5,948.80","8,911.26",,,,,,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",Linux,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),BullSequana X,BullSequana,Omnipath,Intel Omni-Path,Europe,"50,848",179883
253,220,Cannon,"ThinkSystem SD650, Xeon Platinum 8268 24C 2.9GHz, InfiniBand HDR100",Harvard University,Lenovo,United States,2019,Academic,"32,160",,"2,076.89","2,984.45",,,,,,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",Linux,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),ThinkSystem SD650,Lenovo ThinkSystem,Infiniband,InfiniBand HDR 100,North America,"47,974",179740
254,368,Software Company (M) A34,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179630
255,369,Software Company (M) A33,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179631
256,337,Software Company (M) A16,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179337
257,338,Software Company (M) A15,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179338
258,339,Software Company (M) A14,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179339
259,340,Software Company (M) A13,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179340
260,341,Software Company (M) A11,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179341
261,342,Software Company (M) A10,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179342
262,343,Software Company (M) A9,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179343
263,344,Software Company (M) A8,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179344
264,345,Software Company (M) A7,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179345
265,346,Software Company (M) A6,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179346
266,376,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Hosting Services,Lenovo,United States,2019,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,North America,"50,171",179720
267,377,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Hosting Services,Lenovo,United States,2019,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,North America,"50,171",179721
268,378,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Hosting Services,Lenovo,United States,2019,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,North America,"50,171",179722
269,379,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Hosting Services,Lenovo,United States,2019,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,North America,"50,171",179723
270,351,Software Company (M) A12,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179395
271,375,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Hosting Services,Lenovo,United States,2019,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,North America,"50,171",179719
272,370,Software Company (M) A32,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179633
273,371,Software Company (M) A31,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179634
274,372,Software Company (M) A30,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179635
275,373,Software Company (M) A29,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179636
276,374,Software Company (M) A28,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179637
277,380,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Hosting Services,Lenovo,United States,2019,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,North America,"50,171",179724
278,350,Software Company (M) A1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2017,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179350
279,349,Software Company (M) A2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2017,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179349
280,348,Software Company (M) A3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179348
281,347,Software Company (M) A4,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179347
282,365,Software Company (M) A37,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179626
283,366,Software Company (M) A36,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179628
284,367,Software Company (M) A35,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179629
285,355,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179464
286,364,Software Company (M) A38,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179625
287,363,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179472
288,362,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179471
289,361,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179470
290,360,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179469
291,359,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179468
292,358,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179467
293,357,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179466
294,356,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179465
295,354,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179463
296,353,Software Company (M) A26,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179446
297,352,Software Company (M) A5,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Hosting Services,Lenovo,United States,2018,Industry,"57,600",,"1,649.11","2,119.68",,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,"2,300",Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,"50,171",179396
298,238,Grand Chariot,"PRIMERGY CX2550 M4 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path","Information Initiative Center, Hokkaido University",Fujitsu,Japan,2018,Academic,"39,760",,"2,000.00","3,053.57",,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,"50,367",179445
299,433,HOKUSAI BigWaterfall	,"PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR","Information Systems Division, RIKEN",Fujitsu,Japan,2017,Research,"33,600",,"1,601.00","2,580.48",,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,"50,734",179172
300,41,Flow,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, Nagoya University",Fujitsu,Japan,2020,Academic,"110,592",,"6,617.80","7,785.68",,,,,,,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,495",179808
301,58,Flow Type II subsystem,"PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR","Information Technology Center, Nagoya University",Fujitsu,Japan,2020,Academic,"79,560","70,720","4,880.46","7,519.30",,,,,,,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),PRIMERGY CX2570 M5,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,"50,495",179897
302,261,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Internet Company,Inspur,China,2017,Industry,"40,320","38,400","1,921.00","3,520.51",,,,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur TS10000,Inspur Cluster,Infiniband,Infiniband EDR,Asia,"50,743",179795
303,421,,"INSPUR NF5288M5, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Internet Company,Inspur,China,2019,Industry,"42,752","40,960","1,643.00","3,766.37",,,,,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",Linux,Linux,NVIDIA Tesla V100,14,Xeon Gold,INSPUR NF5288M5,Inspur Cluster,Infiniband,Infiniband EDR,Asia,"50,707",179799
304,422,,"INSPUR NF5288M5, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Internet Company,Inspur,China,2019,Industry,"42,752","40,960","1,643.00","3,766.37",,,,,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,"2,600",Linux,Linux,NVIDIA Tesla V100,14,Xeon Gold,INSPUR NF5288M5,Inspur Cluster,Infiniband,Infiniband EDR,Asia,"50,707",179800
305,222,JD I1,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet",Internet Company,Lenovo,China,2018,Industry,"52,320",,"2,074.04","4,018.18",,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,598",179661
